,Beast,Shirt,Neck,Hat,Eyes,Best_Friend,Nemesis,Strength,Speed,Endurance,Intelligence,Wisdom,Charisma,Class,Element,Habitat,Attribute_X,Attribute_Y,Attribute Z,D_4_6_8_10_12_20
7660,Sheep,,,Construction Helmet,,#1396,#8906,12,12,16,14,12,10,Thief,Fire,Plains,26,51,2,"3, 1, 2, 6, 12, 7"
7661,Pig,Black Hoodie,,Construction Helmet,,#9258,#5378,9,11,9,11,13,12,Thief,Earth,Mountain,86,57,1,"2, 4, 6, 4, 6, 10"
7662,Panda,,Bow Tie,Pink Fairy Hat,,#5964,#4505,11,13,9,15,16,11,Thief,Earth,Plains,49,38,17,"2, 6, 8, 4, 4, 1"
7663,Bear,White Tank,Gold Chain,,Goggles,#9544,#4399,7,14,15,14,10,12,Warrior,Earth,Island,96,20,16,"3, 6, 1, 10, 10, 6"
7664,Hippo,Overalls,,Red Party Hat,,#8318,#8462,12,17,13,14,13,13,Warrior,Air,Swamp,39,53,1,"1, 2, 4, 5, 12, 18"
7665,Pink Bear,White Shirt,Bow Tie,Blue Bow,,#6093,#9065,13,8,14,7,10,16,Thief,Fire,Forest,97,32,3,"4, 4, 2, 1, 3, 11"
7666,Pig,White Tee,,Pink Fairy Hat,,#9695,#8719,14,15,14,11,18,13,Thief,Fire,Swamp,80,34,24,"4, 1, 6, 1, 10, 11"
7667,Fox,Toga,,Blue Bow,Sunglasses,#9734,#8543,15,13,10,10,11,16,Warrior,Water,Forest,10,55,12,"4, 2, 2, 1, 9, 17"
7668,Snek,,,Tiara,Eyepatch,#9286,#8685,8,12,14,14,9,17,Thief,Water,Forest,80,32,1,"1, 2, 6, 7, 6, 9"
7669,Deer,Royal Coat,,Ribbon,,#4693,#1087,11,13,16,11,11,8,Thief,Earth,Mountain,3,55,16,"3, 2, 7, 10, 2, 18"
7670,Red Hair Lion,Overalls,,,Pink Goggles,#3234,#2744,14,17,14,12,12,16,Mage,Air,Plains,20,66,30,"1, 6, 6, 7, 9, 6"
7671,Red Hair Lion,Blue Tank,,Chefs Hat,,#0672,#9327,16,12,14,9,17,16,Warrior,Fire,Island,54,53,8,"1, 5, 8, 5, 5, 18"
7672,Siberian Tiger,Blue Tank,,Blue Beanie,,#2193,#5972,14,10,10,15,7,14,Mage,Air,Mountain,8,60,9,"3, 4, 3, 9, 7, 17"
7673,Fox,Red Tee,,Blue Beanie,Eyepatch,#7705,#8468,13,12,16,13,17,12,Thief,Earth,Plains,75,43,8,"3, 6, 6, 1, 7, 8"
7674,Panda,Royal Coat,,Blue Bow,,#9116,#3689,12,12,10,12,13,11,Warrior,Fire,Plains,32,41,2,"4, 2, 3, 7, 6, 18"
7675,Bear,Red Tee,Bow Tie,Brown Hat,,#9278,#5624,12,14,11,14,17,16,Mage,Air,Mountain,17,57,5,"3, 2, 6, 2, 5, 18"
7676,Black Sheep,Suit,,Viking Helmet,Pink Goggles,#9844,#2170,8,13,12,11,11,17,Mage,Earth,Plains,28,46,2,"3, 2, 5, 5, 4, 5"
7677,Rabbit,Brown Jacket,,Construction Helmet,Little Glasses,#0126,#0624,13,11,16,11,14,9,Warrior,Air,Swamp,95,55,4,"1, 3, 4, 2, 11, 19"
7678,Bear,White Shirt,Bow Tie,Top Hat,,#4893,#9646,13,16,12,9,9,14,Warrior,Fire,Mountain,17,34,16,"2, 4, 5, 4, 4, 4"
7679,Duck,,,Yellow Bow,Little Glasses,#7366,#1667,11,14,13,13,8,12,Warrior,Fire,Forest,70,30,17,"1, 5, 5, 5, 7, 18"
7680,Purple Monkey,,,Pink Cowboy Hat,,#7993,#8398,14,9,15,11,14,17,Warrior,Water,Plains,16,40,6,"4, 3, 8, 8, 2, 7"
7681,Pink Bear,Red Tank,,Straw Hat,,#7741,#5508,10,16,9,14,13,10,Thief,Earth,Island,53,56,30,"1, 3, 8, 3, 4, 10"
7682,Bear,Red Tee,,Wizard Hat,,#8542,#7229,17,16,14,12,14,8,Warrior,Earth,Plains,56,52,10,"2, 3, 6, 1, 8, 3"
7683,Hippo,,,Halo and Wings,,#5203,#9773,16,16,13,12,15,14,Mage,Air,Mountain,20,70,2,"1, 2, 2, 8, 2, 14"
7684,Elephant,Red Tank,,Top Hat,,#9900,#4973,14,16,14,10,12,9,Thief,Fire,Mountain,87,48,4,"3, 2, 5, 6, 10, 16"
7685,Siberian Tiger,Royal Coat,,Ribbon,,#3610,#0760,11,18,9,18,14,6,Warrior,Fire,Mountain,33,54,1,"1, 5, 4, 10, 2, 14"
7686,Siberian Tiger,,,Chefs Hat,,#7259,#9133,15,13,9,14,12,12,Warrior,Fire,Forest,21,38,7,"4, 1, 7, 3, 3, 5"
7687,Panda,Suit,,,,#8887,#9728,12,17,11,15,11,11,Thief,Fire,Plains,94,42,5,"3, 3, 4, 5, 5, 5"
7688,Pink Bear,Brown Robe,,,,#7480,#6635,15,10,13,16,13,13,Warrior,Water,Plains,60,59,14,"3, 3, 1, 3, 1, 20"
7689,Cardinal,,,,Little Glasses,#7737,#7874,13,8,10,10,16,13,Warrior,Water,Plains,21,37,39,"3, 3, 6, 3, 2, 16"
7690,Blue Cat,Red Tee,,Brown Hat,,#6596,#8298,13,16,14,8,13,15,Warrior,Air,Forest,3,41,27,"4, 1, 8, 4, 6, 7"
7691,Rhino,,,Green Bow,Eyepatch,#8800,#8080,10,14,9,15,15,13,Thief,Fire,Mountain,69,61,1,"3, 4, 4, 7, 2, 10"
7692,Sheep,Brown Robe,,Blue Party Hat,Pink Goggles,#3611,#4058,13,17,11,13,14,13,Thief,Air,Plains,97,35,24,"3, 4, 7, 1, 3, 14"
7693,Brown Dog,Bee Costume,,Purple Top Hat,Pink Goggles,#9442,#0881,15,9,10,9,12,12,Warrior,Fire,Mountain,27,44,7,"1, 3, 8, 1, 10, 3"
7694,Hippo,Suit,,Pink Fairy Hat,,#2668,#2524,10,13,13,12,13,9,Mage,Fire,Plains,96,46,10,"1, 1, 4, 7, 8, 9"
7695,Dog,White Tank,,Straw Hat,,#3068,#4010,6,13,13,12,6,9,Mage,Air,Swamp,95,58,5,"4, 4, 4, 4, 11, 6"
7696,Brown Dog,Red Tank,Bow Tie,Blue Bow,,#7284,#8048,12,11,13,18,9,13,Mage,Earth,Forest,2,38,8,"4, 3, 2, 8, 4, 17"
7697,Green Hair Lion,Green Dress,,Chefs Hat,Eyepatch,#4179,#0495,7,13,14,17,14,14,Thief,Earth,Swamp,43,69,7,"4, 3, 1, 2, 3, 18"
7698,Bear,Blazer Tee,,Straw Hat,3D Glasses,#1806,#8941,6,17,10,11,12,13,Mage,Fire,Mountain,73,49,2,"4, 6, 1, 3, 9, 12"
7699,Golden Bear,Black Jacket,,Leaf Crown,Goggles,#7018,#8636,10,16,13,13,14,10,Thief,Water,Mountain,58,48,13,"4, 5, 1, 7, 2, 10"
7700,Black Sheep,Brown Jacket,,Pink Fairy Hat,,#5172,#4253,15,13,11,14,15,15,Mage,Fire,Plains,6,65,15,"4, 1, 8, 8, 6, 17"
7701,Panda,Toga,,Crown,Pink Goggles,#3460,#8685,10,14,11,16,11,12,Mage,Air,Forest,39,34,10,"3, 5, 3, 9, 1, 17"
7702,Deer,White Jacket,,Green Bow,,#5700,#7831,7,13,17,10,10,15,Thief,Fire,Swamp,87,51,4,"4, 3, 2, 2, 3, 12"
7703,Green Cat,Green Dress,,Straw Hat,,#6932,#8618,11,13,11,11,11,9,Thief,Earth,Mountain,84,58,28,"4, 5, 4, 2, 1, 3"
7704,Sheep,Green Dress,,,Monocle,#1488,#9127,14,17,15,14,14,17,Mage,Earth,Plains,52,68,9,"2, 1, 5, 1, 12, 9"
7705,Dog,White Tank,Bow Tie,Top Hat,,#7673,#7519,6,15,15,14,8,13,Warrior,Air,Mountain,61,52,8,"1, 5, 3, 1, 11, 3"
7706,Sheep,White Tee,,Brown Hat,Pink Goggles,#6975,#1485,16,12,10,16,10,14,Mage,Water,Mountain,56,47,2,"2, 4, 5, 10, 1, 16"
7707,Fox,Fancy Robe,,Straw Hat,,#6882,#5109,13,11,15,16,11,11,Thief,Fire,Swamp,63,59,33,"2, 6, 3, 4, 4, 13"
7708,Minotaur,Puffy Jacket,,Halo,,#7976,#7324,9,14,14,14,9,15,Thief,Water,Forest,89,75,20,"4, 1, 5, 8, 11, 8"
7709,Tiger,Green Tee,,Wizard Hat,,#0486,#1177,15,16,14,13,14,7,Mage,Fire,Island,25,44,5,"1, 4, 4, 1, 6, 15"
7710,Bear,Blazer Tee,,Blue Bow,,#8888,#7732,15,11,12,17,16,15,Warrior,Earth,Island,17,58,3,"4, 2, 8, 9, 8, 20"
7711,Brown Dog,Puffy Jacket,,Witches Hat,,#3717,#5942,14,12,16,17,9,13,Thief,Fire,Forest,55,42,24,"1, 6, 2, 2, 11, 3"
7712,Fox,,,Viking Helmet,,#3996,#2995,15,12,17,8,12,15,Warrior,Fire,Plains,7,60,43,"4, 5, 5, 8, 8, 11"
7713,Golden Bear,Red Tank,,Straw Hat,Eyepatch,#4451,#7944,10,11,14,11,11,12,Warrior,Water,Swamp,26,53,1,"1, 3, 7, 2, 11, 14"
7714,Rhino,White Shirt,,,,#9479,#0294,10,17,10,11,16,13,Warrior,Earth,Island,86,49,8,"2, 1, 3, 6, 8, 13"
7715,Tiger,Toga,,,Sunglasses,#9731,#8289,16,10,17,12,16,11,Thief,Water,Plains,4,42,9,"3, 1, 4, 2, 10, 9"
7716,Siberian Tiger,Brown Jacket,,Purple Top Hat,3D Glasses,#8298,#1601,14,6,10,9,11,14,Mage,Fire,Forest,39,28,3,"1, 2, 3, 10, 6, 4"
7717,Purple Monkey,White Tank,,Ribbon,,#8272,#3105,9,15,9,11,12,13,Thief,Earth,Island,78,35,1,"4, 5, 1, 6, 2, 15"
7718,Elephant,Black Hoodie,,Brown Hat,Pink Goggles,#3709,#1173,13,14,13,8,11,9,Warrior,Earth,Plains,76,44,47,"1, 1, 8, 4, 2, 15"
7719,Purple Dragon,White Tank,,Pink Fairy Hat,Eyepatch,#9617,#4905,17,15,13,12,8,12,Warrior,Air,Forest,4,59,13,"4, 5, 1, 5, 5, 8"
7720,Black Sheep,Suit,,Straw Hat,,#8020,#7744,15,15,16,11,13,10,Warrior,Water,Mountain,80,36,9,"2, 3, 3, 2, 9, 20"
7721,Purple Monkey,Blazer Tee,,Top Hat,,#8617,#8787,10,16,14,13,14,7,Thief,Air,Forest,45,56,1,"4, 6, 2, 1, 9, 7"
7722,Bear,Green Dress,,Purple Top Hat,Sunglasses,#9490,#9344,11,14,10,8,16,12,Thief,Earth,Plains,74,46,7,"1, 5, 6, 6, 5, 16"
7723,Hippo,Brown Jacket,,Brown Hat,,#8672,#8293,10,17,6,15,15,14,Warrior,Earth,Forest,97,51,22,"3, 5, 8, 6, 9, 4"
7724,Elephant,Purple Robe,,Straw Hat,,#9407,#8176,13,15,13,13,16,17,Thief,Water,Island,81,37,14,"2, 6, 1, 2, 7, 2"
7725,Lion,White Shirt,,Pink Fairy Hat,Steampunk Goggles,#4605,#1493,13,15,8,14,14,16,Thief,Air,Swamp,43,49,2,"3, 3, 7, 4, 7, 7"
7726,Dog,Red Tank,,Straw Hat,Pink Goggles,#9478,#3318,13,13,15,12,14,11,Mage,Water,Swamp,25,63,1,"4, 2, 6, 4, 12, 2"
7727,Dog,Red Track Jacket,,,,#8113,#6267,16,6,8,10,12,15,Warrior,Earth,Swamp,19,38,9,"2, 2, 4, 3, 8, 12"
7728,Black Bear,Red Track Jacket,,Green Party Hat,Eyepatch,#2632,#8677,9,8,13,10,17,13,Mage,Fire,Mountain,1,67,12,"1, 3, 4, 8, 6, 6"
7729,Blue Cat,Red Track Jacket,,,,#8985,#8816,13,13,10,8,11,11,Warrior,Water,Island,12,58,17,"1, 2, 6, 1, 9, 9"
7730,Dog,Red Track Jacket,,Pink Fairy Hat,Purple Hero Mask,#6077,#4465,11,14,10,14,13,13,Thief,Fire,Swamp,88,62,24,"1, 3, 5, 7, 3, 1"
7731,Lion,Bee Costume,,Blue Party Hat,,#8001,#0723,10,14,10,14,15,17,Mage,Air,Island,93,42,4,"2, 1, 2, 8, 2, 15"
7732,Purple Monkey,,Bow Tie,Halo,Goggles,#1982,#7710,11,15,14,13,12,10,Warrior,Air,Island,7,68,41,"3, 5, 4, 5, 4, 9"
7733,Panda,Pink Dress,,,Goggles,#7583,#6044,9,13,15,12,12,12,Thief,Earth,Island,4,48,28,"3, 1, 5, 8, 9, 3"
7734,Pig,,Bow Tie,,Pink Goggles,#1258,#7872,10,12,13,9,10,15,Mage,Air,Mountain,48,46,2,"4, 6, 2, 7, 5, 9"
7735,Panda,Red Tee,,,Eyepatch,#4495,#2544,15,9,11,16,12,15,Mage,Earth,Mountain,27,56,10,"1, 1, 4, 6, 2, 6"
7736,Pink Bear,Royal Coat,,Ribbon,,#3604,#2820,14,10,8,9,16,13,Mage,Water,Mountain,79,47,29,"2, 3, 8, 9, 11, 6"
7737,Rabbit,Brown Robe,,Green Bow,,#3285,#2476,13,16,16,15,12,15,Thief,Fire,Mountain,53,40,12,"3, 6, 1, 5, 7, 12"
7738,Hippo,White Shirt,Bow Tie,Red Beanie,,#8906,#7096,11,14,11,16,14,13,Mage,Fire,Swamp,97,52,1,"2, 2, 1, 1, 11, 17"
7739,Black Bear,,,Purple Top Hat,,#9886,#6564,16,13,15,11,11,16,Warrior,Air,Island,34,62,10,"2, 1, 4, 1, 1, 19"
7740,Lion,Overalls,,Straw Hat,Pink Goggles,#3025,#7080,17,11,12,13,17,16,Mage,Water,Island,26,38,6,"4, 5, 6, 10, 7, 5"
7741,Pig,Royal Coat,,Halo,,#5797,#1123,11,12,16,16,13,11,Warrior,Fire,Plains,59,40,15,"3, 2, 3, 9, 3, 16"
7742,Seagull,,,Pink Fairy Hat,Goggles,#2575,#3944,11,15,12,13,16,13,Thief,Fire,Mountain,21,41,1,"4, 4, 6, 7, 10, 20"
7743,Pink Bear,Toga,,Red Party Hat,,#8231,#0296,12,18,12,16,15,12,Thief,Fire,Island,50,58,21,"4, 4, 5, 6, 8, 14"
7744,Brown Dog,Toga,,Green Bow,Eyepatch,#8141,#6948,10,12,10,9,12,10,Mage,Fire,Plains,59,59,17,"4, 1, 7, 7, 10, 2"
7745,Elephant,Red Tee,,Pink Cowboy Hat,,#6040,#3481,9,11,10,11,14,12,Thief,Air,Island,5,57,35,"2, 5, 3, 4, 11, 5"
7746,Pig,Fancy Robe,,Straw Hat,,#1759,#9759,14,12,13,11,11,10,Mage,Water,Forest,84,66,13,"3, 6, 8, 1, 1, 18"
7747,Pig,,,Pink Cowboy Hat,,#6346,#9702,9,14,11,13,12,9,Warrior,Air,Plains,42,60,37,"1, 3, 2, 6, 8, 20"
7748,Siberian Tiger,Brown Jacket,,Red Beanie,,#0406,#4775,12,12,12,18,13,11,Mage,Earth,Forest,78,41,13,"3, 6, 5, 4, 7, 19"
7749,Panda,Overalls,,Pink Fairy Hat,,#9797,#9784,10,17,15,14,10,11,Thief,Air,Plains,53,27,11,"3, 2, 4, 3, 1, 20"
7750,Crow,,,Green Party Hat,Monocle,#8541,#8104,9,13,10,11,12,14,Thief,Air,Forest,90,30,2,"4, 2, 6, 9, 11, 2"
7751,Monkey,White Tank,Gold Chain,Ribbon,,#4797,#7421,8,16,16,11,9,16,Warrior,Earth,Forest,16,37,1,"1, 4, 7, 3, 9, 4"
7752,Hippo,White Shirt,Bow Tie,Pink Fairy Hat,Green Hero Mask,#1239,#7877,13,17,7,14,8,17,Mage,Fire,Island,3,51,44,"2, 2, 8, 5, 1, 5"
7753,Bear,Brown Jacket,,Green Party Hat,Eyepatch,#2515,#2127,9,9,10,12,12,13,Thief,Water,Plains,12,49,1,"4, 5, 8, 4, 7, 1"
7754,Deer,Green Dress,,,Pink Goggles,#1513,#8437,16,11,12,10,15,7,Warrior,Air,Forest,21,59,3,"2, 6, 3, 9, 1, 17"
7755,Purple Monkey,White Tee,Bow Tie,Brown Hat,Eyepatch,#2106,#9809,11,13,16,13,10,12,Thief,Fire,Mountain,42,46,35,"2, 2, 2, 6, 10, 10"
7756,Pig,Overalls,,Construction Helmet,,#3654,#2111,11,13,11,12,7,11,Warrior,Water,Plains,63,40,2,"1, 5, 4, 4, 7, 16"
7757,Monkey,Overalls,,Construction Helmet,,#8886,#9534,15,11,11,14,14,10,Mage,Air,Mountain,29,37,24,"3, 1, 8, 10, 1, 10"
7758,Lion,Green Tee,,Wizard Hat,Sunglasses,#3078,#0987,13,9,11,12,10,11,Mage,Water,Forest,75,56,1,"1, 3, 1, 4, 10, 15"
7759,Black Bear,Blue Track Jacket,,Red Beanie,3D Glasses,#2339,#1244,17,15,14,14,13,14,Thief,Air,Island,10,50,13,"3, 2, 5, 4, 1, 2"
7760,Siberian Tiger,Green Dress,,Crown,,#4335,#2256,16,13,8,15,14,12,Warrior,Earth,Forest,87,44,14,"1, 4, 5, 2, 10, 11"
7761,Sheep,Royal Coat,,Brown Hat,Eyepatch,#8491,#7949,11,13,14,8,11,9,Thief,Earth,Forest,5,54,28,"3, 4, 4, 9, 8, 7"
7762,Sheep,,,Brown Hat,Eyepatch,#8703,#6697,12,13,13,9,14,13,Warrior,Water,Forest,32,41,7,"1, 5, 4, 5, 3, 8"
7763,Rabbit,White Shirt,,Brown Hat,,#1380,#9957,12,15,15,15,14,8,Thief,Air,Plains,94,47,8,"1, 6, 7, 1, 7, 9"
7764,Turtle,,,,Purple Hero Mask,#1992,#2230,14,11,10,14,12,13,Mage,Air,Swamp,72,43,12,"3, 4, 2, 10, 1, 7"
7765,Deer,Red Track Jacket,,Crown,,#9286,#9952,9,16,13,16,7,12,Thief,Air,Mountain,94,40,34,"3, 5, 8, 3, 10, 11"
7766,Hippo,White Shirt,,Purple Top Hat,3D Glasses,#3035,#8643,11,11,12,12,17,12,Warrior,Water,Forest,30,41,1,"4, 5, 3, 3, 11, 7"
7767,Blue Cat,Red Tank,Gold Chain,Straw Hat,Sunglasses,#3872,#5847,15,18,13,9,11,14,Warrior,Water,Plains,64,60,5,"4, 6, 2, 4, 6, 4"
7768,Green Cat,Royal Coat,,Straw Hat,,#8112,#1243,18,15,11,11,14,12,Thief,Fire,Island,97,56,84,"3, 4, 6, 9, 4, 12"
7769,Turtle,,Bow Tie,Witches Hat,Sunglasses,#9372,#6585,13,17,11,14,7,10,Warrior,Earth,Island,98,41,16,"2, 6, 1, 9, 11, 11"
7770,Tiger,Black Jacket,,Green Bow,Pink Goggles,#5660,#7210,14,13,18,10,16,15,Warrior,Air,Mountain,4,51,52,"1, 6, 4, 3, 9, 8"
7771,Panda,Overalls,,Pink Fairy Hat,Goggles,#7988,#4806,11,13,13,13,13,12,Mage,Fire,Mountain,59,57,9,"1, 1, 7, 6, 8, 11"
7772,Dog,Suit,,Top Hat,Pink Goggles,#1361,#8205,10,17,9,4,10,10,Thief,Air,Island,32,48,2,"3, 1, 3, 1, 8, 2"
7773,Black Sheep,Black Jacket,,Witches Hat,Eyepatch,#8735,#3557,12,10,9,13,11,12,Mage,Fire,Plains,48,47,2,"1, 1, 5, 9, 6, 2"
7774,Elephant,Overalls,,Green Party Hat,Goggles,#6699,#4674,12,14,13,14,11,14,Warrior,Earth,Plains,50,43,15,"4, 6, 3, 7, 9, 6"
7775,Tiger,Fancy Robe,,,Pink Goggles,#9803,#8458,13,17,10,10,12,14,Thief,Air,Swamp,34,55,6,"4, 4, 4, 5, 8, 12"
7776,Panda,Scarf and Sweater,,Green Party Hat,Pink Goggles,#7975,#6986,10,11,16,10,11,17,Warrior,Air,Island,55,66,2,"2, 4, 4, 3, 3, 2"
7777,Panda,Brown Jacket,,Viking Helmet,Sunglasses,#2503,#9118,12,13,17,15,11,11,Mage,Fire,Swamp,22,38,2,"2, 5, 7, 2, 1, 2"
7778,Black Sheep,,Gold Chain,Top Hat,,#8911,#5299,12,9,13,14,13,14,Thief,Water,Mountain,20,40,18,"2, 2, 6, 2, 12, 15"
7779,Rabbit,Blue Track Jacket,,Halo and Wings,Eyepatch,#8759,#5309,10,10,7,17,16,9,Warrior,Fire,Swamp,38,55,26,"2, 1, 6, 9, 5, 16"
7780,Polar Bear,Suit,,Brown Hat,,#2377,#4360,12,8,12,15,10,17,Warrior,Fire,Plains,99,45,7,"3, 1, 6, 6, 9, 7"
7781,Poison Snek,,,Green Bow,,#8334,#5261,17,7,15,14,17,16,Thief,Water,Forest,99,43,7,"1, 1, 5, 1, 4, 13"
7782,Siberian Tiger,Suit,,Top Hat,Little Glasses,#6310,#9206,11,12,15,13,13,13,Thief,Earth,Plains,83,61,9,"4, 4, 1, 8, 2, 17"
7783,Penguin,,,,Laser Eyes,#8860,#1883,13,14,12,10,12,15,Warrior,Water,Plains,1,44,8,"4, 5, 5, 2, 6, 4"
7784,Elephant,Suit,,Blue Bow,,#4661,#5543,17,13,8,15,12,14,Mage,Water,Mountain,15,34,1,"4, 5, 8, 7, 1, 5"
7785,Rabbit,,Bow Tie,,,#8818,#6457,11,11,7,15,12,8,Mage,Fire,Island,72,48,5,"3, 5, 8, 4, 1, 16"
7786,Pig,Pink Dress,,Straw Hat,,#6231,#0220,14,12,12,9,9,17,Warrior,Fire,Forest,19,60,1,"3, 1, 1, 1, 1, 8"
7787,Tiger,Suit,,Brown Hat,Sunglasses,#7046,#5200,15,14,18,16,15,14,Warrior,Fire,Mountain,63,45,16,"3, 4, 2, 7, 7, 16"
7788,Lion,,,Brown Hat,,#8647,#3647,11,11,12,9,9,14,Warrior,Earth,Plains,51,47,3,"2, 2, 5, 9, 1, 6"
7789,Siberian Tiger,Red Track Jacket,,Green Party Hat,Purple Hero Mask,#8312,#4241,13,13,14,15,15,9,Thief,Air,Forest,54,55,51,"4, 6, 3, 10, 6, 12"
7790,Pink Bear,Blue Tank,,Straw Hat,Pink Goggles,#1892,#1806,10,12,10,10,13,17,Warrior,Air,Forest,92,48,15,"4, 2, 1, 2, 10, 20"
7791,Pig,Brown Robe,,Ribbon,,#3217,#3391,14,11,14,12,13,15,Warrior,Air,Swamp,94,69,6,"4, 2, 6, 5, 9, 15"
7792,Black Bear,Green Tee,Gold Chain,Green Bow,,#3250,#9812,12,10,14,16,15,14,Warrior,Air,Mountain,8,31,13,"4, 4, 7, 7, 4, 8"
7793,Black Sheep,White Shirt,Gold Chain,,Pink Goggles,#8897,#8508,14,16,10,14,10,11,Thief,Air,Mountain,48,52,14,"1, 6, 4, 2, 12, 10"
7794,Purple Monkey,,,Leaf Crown,,#8977,#0722,12,9,14,10,13,9,Mage,Air,Swamp,13,56,3,"4, 5, 2, 4, 12, 12"
7795,Purple Cat,Toga,,Halo,Pink Goggles,#9003,#5986,9,13,14,10,13,10,Thief,Fire,Swamp,26,40,16,"4, 6, 5, 9, 6, 4"
7796,Siberian Tiger,,,Pink Fairy Hat,Pink Goggles,#2933,#6816,14,15,7,14,12,11,Mage,Water,Mountain,82,43,14,"4, 3, 4, 1, 1, 9"
7797,Fox,Overalls,,Viking Helmet,Eyepatch,#8055,#9726,13,15,14,9,15,13,Thief,Water,Forest,92,65,15,"4, 6, 4, 8, 3, 10"
7798,Sheep,Pink Dress,,Yellow Bow,Eyepatch,#2045,#8250,8,9,13,10,7,13,Mage,Earth,Plains,89,57,8,"4, 6, 3, 5, 2, 7"
7799,Black Bear,Suit,,Blue Party Hat,,#5749,#8753,11,5,12,16,14,13,Warrior,Air,Plains,32,48,6,"3, 2, 2, 10, 2, 4"
7800,Elephant,Puffy Jacket,,Blue Bow,,#3127,#8362,15,18,13,13,13,12,Warrior,Water,Plains,29,59,3,"3, 1, 2, 10, 10, 2"
7801,Hippo,,,Red Party Hat,,#3952,#7438,4,11,11,14,7,12,Warrior,Fire,Forest,4,61,28,"1, 4, 3, 3, 6, 3"
7802,Rhino,Overalls,,Witches Hat,,#1911,#4283,10,15,8,12,10,13,Thief,Air,Swamp,10,47,4,"2, 4, 2, 5, 10, 15"
7803,Dog,Red Tee,Gold Chain,Green Party Hat,,#1338,#4635,15,9,16,15,15,12,Mage,Fire,Plains,69,54,1,"3, 6, 5, 3, 2, 17"
7804,Chick,,,Witches Hat,Laser Eyes,#5455,#7377,12,13,14,11,11,11,Warrior,Earth,Island,90,34,4,"3, 4, 7, 8, 6, 16"
7805,Siberian Tiger,White Tee,,Leaf Crown,,#1906,#2261,11,17,14,10,17,12,Mage,Fire,Plains,23,58,2,"4, 6, 6, 9, 2, 11"
7806,Elephant,,Bow Tie,Top Hat,,#0206,#1812,13,9,10,15,13,15,Mage,Water,Forest,23,53,4,"1, 4, 7, 1, 2, 4"
7807,Brown Dog,,,Top Hat,,#5151,#6574,14,12,14,14,16,13,Mage,Earth,Forest,22,66,16,"4, 5, 5, 2, 7, 15"
7808,Golden Bear,Green Dress,,,Goggles,#8464,#3348,14,12,13,10,11,11,Mage,Water,Mountain,91,44,16,"4, 6, 8, 6, 9, 9"
7809,Dog,Purple Robe,,,Green Hero Mask,#7897,#2017,15,13,12,9,10,9,Warrior,Fire,Plains,43,58,1,"3, 1, 7, 7, 3, 8"
7810,Green Cat,Puffy Jacket,,Straw Hat,Laser Eyes,#7472,#8042,11,13,14,16,11,6,Mage,Earth,Forest,28,53,3,"4, 1, 7, 3, 5, 5"
7811,Monkey,Overalls,,,Pink Goggles,#9461,#6616,14,14,15,13,16,15,Mage,Fire,Forest,74,47,27,"4, 4, 5, 9, 8, 2"
7812,Black Bear,,,,Monocle,#4802,#5890,17,16,10,15,11,16,Thief,Earth,Plains,6,45,48,"3, 2, 5, 2, 1, 1"
7813,Panda,,,Straw Hat,Eyepatch,#3819,#5731,11,13,14,16,12,12,Thief,Water,Swamp,14,54,11,"1, 5, 1, 1, 1, 6"
7814,Turtle,Purple Robe,,Top Hat,,#8304,#5771,16,15,14,14,12,13,Warrior,Air,Mountain,90,40,25,"2, 1, 2, 2, 8, 17"
7815,Brown Dog,Bee Costume,,,Eyepatch,#6686,#1230,10,14,16,12,11,11,Thief,Water,Mountain,60,42,8,"1, 5, 7, 9, 3, 11"
7816,Deer,Marching Band,,Red Party Hat,Eyepatch,#1263,#0157,14,11,9,10,10,15,Warrior,Water,Island,87,48,24,"4, 2, 7, 3, 11, 11"
7817,Panda,Scarf and Sweater,,Straw Hat,,#9723,#4805,13,15,14,17,10,11,Thief,Air,Island,26,54,32,"4, 2, 6, 6, 6, 10"
7818,Pig,Black Jacket,,Top Hat,,#7892,#3544,11,12,16,12,11,11,Warrior,Air,Swamp,96,61,21,"4, 3, 8, 10, 6, 18"
7819,Rabbit,Red Tank,Bow Tie,,Eyepatch,#7373,#9992,16,7,9,14,13,14,Thief,Fire,Island,32,41,9,"2, 3, 1, 10, 6, 20"
7820,Dog,Black Hoodie,,Blue Party Hat,,#4762,#1563,10,10,11,16,11,12,Thief,Earth,Swamp,12,70,14,"2, 3, 2, 9, 2, 19"
7821,Purple Monkey,Red Track Jacket,,Red Party Hat,Monocle,#3394,#6366,11,16,11,12,11,10,Warrior,Water,Island,23,40,27,"4, 4, 5, 5, 3, 8"
7822,Black Sheep,,Gold Chain,Green Party Hat,,#9766,#0402,13,15,14,18,14,10,Thief,Air,Plains,10,38,36,"3, 5, 2, 10, 6, 8"
7823,Pink Bear,Green Tee,Bow Tie,Top Hat,Laser Eyes,#0614,#8286,15,13,12,10,12,11,Warrior,Fire,Swamp,37,59,5,"3, 4, 5, 2, 8, 11"
7824,Monkey,,,Ribbon,Eyepatch,#1469,#9428,10,17,16,12,12,13,Warrior,Fire,Mountain,46,55,3,"2, 4, 4, 9, 6, 9"
7825,Siberian Tiger,Green Tee,,Green Party Hat,,#8714,#1946,14,15,11,11,12,15,Thief,Water,Mountain,73,52,2,"1, 6, 7, 5, 12, 10"
